Id,Label,modularity_class,indegree,outdegree,Degree,pageranks,eigencentrality,stat_inf_class,componentnumber,strongcompnum,weighted indegree,weighted outdegree,Weighted Degree,clustering,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
40enron,,2,0,3,3,0.000167,0,0,0,1152,0,3,3,0.5,4,0.332852,0.348072,0
louise.kitchen,,1,171,158,329,0.016849,1,1,0,1151,171,158,329,0.018361,4,0.459256,0.496946,330320.090242
richard.shapiro,,6,174,187,361,0.015946,0.817908,0,0,1151,174,187,361,0.01262,4,0.398386,0.446922,235540.946326
rick.buy,,2,86,41,127,0.007021,0.457953,0,0,1151,86,41,127,0.039755,4,0.367405,0.393925,63376.774098
a..howard,,0,2,3,5,0.000356,0.019747,0,0,1151,2,3,5,1,5,0.279026,0.296577,0
rod.hayslett,,0,60,55,115,0.008912,0.115655,0,0,1151,60,55,115,0.011064,5,0.306941,0.334346,100684.242368
shelley.corman,,0,78,171,249,0.010425,0.222803,0,0,1151,78,171,249,0.005973,4,0.371418,0.418796,261820.498444
stanley.horton,,0,53,30,83,0.005809,0.197214,0,0,1151,53,30,83,0.040297,4,0.34389,0.368732,65866.770103
a..martin,,1,3,1,4,0.000363,0.113627,0,0,1151,3,1,4,1,5,0.295863,0.310857,0
john.lavorato,,1,156,178,334,0.016275,0.931938,1,0,1151,156,178,334,0.014071,4,0.420093,0.469785,270573.144671
a..roberts,,4,1,3,4,0.000257,0.044487,0,0,1151,1,3,4,0.75,4,0.316351,0.332731,0
scott.neal,,1,91,70,161,0.011841,0.329945,0,0,1151,91,70,161,0.010684,4,0.325487,0.350329,113714.137907
tim.belden,,4,114,112,226,0.011185,0.680702,0,0,1151,114,112,226,0.017861,4,0.388244,0.423176,164019.185523
a..shankman,,1,3,5,8,0.000383,0.078729,0,0,1151,3,5,8,0.733333,4,0.330993,0.349365,0
greg.whalley,,1,139,13,152,0.011219,0.797725,0,0,1151,139,13,152,0.043566,4,0.330413,0.345227,41142.769585
mike.mcconnell,,2,73,145,218,0.006438,0.379421,0,0,1151,73,145,218,0.017321,3,0.421888,0.461588,148025.8914
adam.johnson,,1,0,3,3,0.000167,0,0,0,1153,0,3,3,0.5,5,0.318056,0.331373,0
adam.umanoff,,0,1,1,2,0.000331,0.010259,0,0,1151,1,1,2,0,5,0.255923,0.265212,0
